address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,choice.7,choice.8,voting_power,timestamp,author_ipfs_hash,reason
0xB9Cad56E7214199805F57a620652F2E4F610880c,1,,1,,,,,1,2.978711423901059,1696259544,bafkreifleb5ge67koq3j7o36zwbq2enb2kmqa5odofdnnvgjiqyzku4igi,""
0xC88eb8c096D2A6bf50f6E738e992d31A27f56299,1,,1,,,,,,2.708922044912595,1696259756,bafkreieenvzkkafwc6ptj2jfvcxwdnopca3s52terlbylkkk26u3ziyspa,""
0xC5f6B52BdABce080A68b49E80eA264699c174882,1,,,,,,,,65.65983551072453,1696260009,bafkreihxet3t3ohpudnx35enbxvymuxfac5aoeg2hnnb7by4st3ktxzrei,""
0xc5f705cA8f70acc5F3d3DB9636558102f528A475,3,,,,,,,,111.7158382819252,1696260024,bafkreifjqhv5ohiv45nudsv2m46ysvisqcnqrfzeivgqjtt4g7s34pe3iy,""
0x6FD8E8858866effBe0CC710bFBce753901dFD50b,1,,,,,,,,0.00001,1696260036,bafkreibhd2cwylhil2lw6eamh4tvllpj7vkpkkrwnnsik42muwqr2y2ham,""
0x962Edbb675e71ABAf6165eE35234679c2Fe66dBb,3,2,1,1,1,1,1,1,1.325825730653807,1696260045,bafkreiaut3tqqxvwt545vb6mgimmgty33lu7yfbv3vgmra6dabvzh544iy,""
0x3D38D6bFA3405d8ad870Da881D3CC5F03aeE4ff4,10,,,,,,,,23.012124902419473,1696260410,bafkreiapztwnkkci4dqp442itlr23ifoaaunfonpymzmvkyswa77uxan7y,""
0x68c86BBdA22D869afAa99F64e1eB3baDC853eC5E,2,1,,,,,,,1799.9433432856556,1696260777,bafkreicoe25uxsz2u5hpoa7lhpx3txopf5cnqk36scyy2nymvsp5wvp5r4,""
0x76eab94AcB86d33666b124d64f63e0D791c5Ee31,100,,,,,,,,10.173817056626282,1696261049,bafkreidfandttl7qfxemsohwqpvvzcrabkvx332sb7xg2ujnm55q6tx5ya,""
0x2ac2dC3Ff68f5E77281515D51E029020d4B16AcA,1,2,1,2,2,1,2,1,16.706055319773288,1696261463,bafkreigbczxvzl257rnlqvqdva5z5tdzia4tem3ujvgicm5l7tmq66t2ii,""
